#Final resampeld spectrum with mask used for the fit
#
#Milky Way reddening already corrected
#
#Four columns
#1. lambda   2. flux   3. error   4. mask
#
   1206.8000  7.072678e-01  6.601555e-02                     0
   1207.2000  1.446480e+00  8.509739e-02                     0
   1207.6000  1.542952e+00  1.373102e-01                     0
   1208.0000  1.652207e+00  1.075327e-01                     0
   1208.4000  2.488648e+00  1.026300e-01                     0
   1208.8000  2.977109e+00  1.083045e-01                     0
   1209.2000  2.820472e+00  1.050219e-01                     0
   1209.6000  2.907960e+00  1.077518e-01                     0
   1210.0000  3.147636e+00  1.072345e-01                     0
   1210.4000  3.157573e+00  1.036274e-01                     0
   1210.8000  2.786229e+00  1.045233e-01                     0
   1211.2000  2.523620e+00  1.184722e-01                     0
   1211.6000  0.000000e+00  1.000000e+00                     0
   1212.0000  0.000000e+00  1.000000e+00                     0
   1212.4000  1.893170e+00  1.416974e-01                     0
   1212.8000  2.649555e+00  1.199725e-01                     0
   1213.2000  3.470926e+00  1.010685e-01                     0
   1213.6000  4.362983e+00  1.045229e-01                     0
   1214.0000  5.337020e+00  1.067404e-01                     0
   1214.4000  9.232022e+00  1.846404e-01                     0
   1214.8000  1.708214e+03  3.416429e+01                     0
   1215.2000  0.000000e+00  1.000000e+00                     0
   1215.6000  0.000000e+00  1.000000e+00                     0
   1216.0000  0.000000e+00  1.000000e+00                     0
   1216.4000  0.000000e+00  1.000000e+00                     0
   1216.8000  1.851685e+02  3.703371e+00                     0
   1217.2000  5.481166e+00  1.096233e-01                     0
   1217.6000  3.780331e+00  8.443169e-02                     0
   1218.0000  3.206649e+00  8.575527e-02                     0
   1218.4000  4.039797e+00  9.650533e-02                     0
   1218.8000  4.757677e+00  1.244523e-01                     0
   1219.2000  4.452304e+00  1.553055e-01                     0
   1219.6000  6.359915e+00  1.727412e-01                     0
   1220.0000  6.764174e+00  1.654888e-01                     0
   1220.4000  1.042077e+01  2.084154e-01                     0
   1220.8000  3.671999e+01  7.343999e-01                     0
   1221.2000  4.096473e+03  8.192946e+01                     0
   1221.6000  4.943789e+04  9.887577e+02                     0
   1222.0000  7.148947e+04  1.429789e+03                     0
   1222.4000  1.813569e+04  3.627138e+02                     0
   1222.8000  2.239113e+02  4.478227e+00                     0
   1223.2000  2.020764e+01  4.041527e-01                     0
   1223.6000  8.781643e+00  1.756329e-01                     0
   1224.0000  6.845482e+00  1.369096e-01                     0
   1224.4000  6.099947e+00  1.232419e-01                     0
   1224.8000  5.119877e+00  1.214097e-01                     0
   1225.2000  5.331823e+00  1.263876e-01                     0
   1225.6000  5.527164e+00  1.285368e-01                     0
   1226.0000  4.964095e+00  1.258464e-01                     0
   1226.4000  4.924860e+00  1.274617e-01                     0
   1226.8000  4.743460e+00  1.208362e-01                     0
   1227.2000  4.644467e+00  1.191134e-01                     0
   1227.6000  4.563823e+00  1.255435e-01                     0
   1228.0000  4.303626e+00  1.213966e-01                     0
   1228.4000  4.617312e+00  1.253209e-01                     0
   1228.8000  4.574798e+00  1.267536e-01                     0
   1229.2000  4.732582e+00  1.278433e-01                     0
   1229.6000  5.329119e+00  1.339939e-01                     0
   1230.0000  5.412613e+00  1.367891e-01                     0
   1230.4000  5.172620e+00  1.336792e-01                     0
   1230.8000  5.221126e+00  1.255980e-01                     0
   1231.2000  4.967917e+00  1.282504e-01                     1
   1231.6000  4.714475e+00  1.300610e-01                     1
   1232.0000  4.097438e+00  1.203482e-01                     1
   1232.4000  4.291156e+00  1.243197e-01                     1
   1232.8000  4.435274e+00  1.266895e-01                     1
   1233.2000  4.163743e+00  1.219284e-01                     1
   1233.6000  4.031643e+00  1.210728e-01                     1
   1234.0000  4.391909e+00  1.261797e-01                     1
   1234.4000  3.975947e+00  1.199009e-01                     1
   1234.8000  3.885644e+00  1.191866e-01                     1
   1235.2000  3.553696e+00  1.138375e-01                     1
   1235.6000  3.294603e+00  1.070573e-01                     1
   1236.0000  2.762130e+00  1.033804e-01                     1
   1236.4000  2.887750e+00  1.071526e-01                     1
   1236.8000  3.162352e+00  1.102663e-01                     1
   1237.2000  3.796665e+00  1.177153e-01                     1
   1237.6000  4.185001e+00  1.246067e-01                     1
   1238.0000  3.764306e+00  1.192644e-01                     1
   1238.4000  3.609707e+00  1.156441e-01                     1
   1238.8000  3.359131e+00  1.139282e-01                     1
   1239.2000  3.334961e+00  1.099843e-01                     1
   1239.6000  3.174429e+00  1.066922e-01                     1
   1240.0000  3.049189e+00  1.073356e-01                     1
   1240.4000  3.164451e+00  1.111094e-01                     1
   1240.8000  3.164248e+00  1.100779e-01                     1
   1241.2000  2.957771e+00  1.075060e-01                     1
   1241.6000  2.772466e+00  1.057738e-01                     1
   1242.0000  2.903535e+00  1.066012e-01                     1
   1242.4000  2.866569e+00  1.057128e-01                     1
